"id","matchDate","Country","League","Season","homeTeam","awayTeam","referee","FTHG","FTAG","FTR"
"7147","28-12-15 16:00","England","Premier League","2015/2016","Watford","Tottenham","Anthony Taylor","1","2","A"
"7148","28-12-15 16:00","England","Premier League","2015/2016","West Brom","Newcastle","Mike Jones","1","0","H"
"7149","26-12-15 20:45","England","Premier League","2015/2016","Southampton","Arsenal","Jonathan Moss","4","0","H"
"7150","26-12-15 18:30","England","Premier League","2015/2016","Newcastle","Everton","Lee Mason","0","1","A"
"7151","26-12-15 16:00","England","Premier League","2015/2016","Aston Villa","West Ham","Mike Dean","1","1","D"
"7152","26-12-15 16:00","England","Premier League","2015/2016","Bournemouth","Crystal Palace","Michael Oliver","0","0","D"
"7153","26-12-15 16:00","England","Premier League","2015/2016","Chelsea","Watford","Andre Marriner","2","2","D"
"7154","26-12-15 16:00","England","Premier League","2015/2016","Liverpool","Leicester","Martin Atkinson","1","0","H"
"7155","26-12-15 16:00","England","Premier League","2015/2016","Manchester City","Sunderland","Anthony Taylor","4","1","H"
"7156","26-12-15 16:00","England","Premier League","2015/2016","Swansea","West Brom","Roger East","1","0","H"
"7157","26-12-15 16:00","England","Premier League","2015/2016","Tottenham","Norwich","Mike Jones","3","0","H"
"7158","26-12-15 13:45","England","Premier League","2015/2016","Stoke","Manchester Utd","Kevin Friend","2","0","H"
"7159","21-12-15 21:00","England","Premier League","2015/2016","Arsenal","Manchester City","Andre Marriner","2","1","H"
"7160","20-12-15 17:00","England","Premier League","2015/2016","Swansea","West Ham","Lee Mason","0","0","D"
"7161","20-12-15 14:30","England","Premier League","2015/2016","Watford","Liverpool","Mark Clattenburg","3","0","H"
"7162","19-12-15 18:30","England","Premier League","2015/2016","Newcastle","Aston Villa","Martin Atkinson","1","1","D"
"7163","19-12-15 16:00","England","Premier League","2015/2016","Chelsea","Sunderland","Roger East","3","1","H"
"7164","19-12-15 16:00","England","Premier League","2015/2016","Everton","Leicester","Jonathan Moss","2","3","A"
"7165","19-12-15 16:00","England","Premier League","2015/2016","Manchester Utd","Norwich","Michael Oliver","1","2","A"
"7166","19-12-15 16:00","England","Premier League","2015/2016","Southampton","Tottenham","Kevin Friend","0","2","A"
"7167","19-12-15 16:00","England","Premier League","2015/2016","Stoke","Crystal Palace","Robert Madley","1","2","A"
"7168","19-12-15 16:00","England","Premier League","2015/2016","West Brom","Bournemouth","Mike Dean","1","2","A"
"7169","14-12-15 21:00","England","Premier League","2015/2016","Leicester","Chelsea","Mark Clattenburg","2","1","H"
"7170","13-12-15 17:00","England","Premier League","2015/2016","Liverpool","West Brom","Craig Pawson","2","2","D"
"7171","13-12-15 17:00","England","Premier League","2015/2016","Tottenham","Newcastle","Roger East","1","2","A"
"7172","13-12-15 14:30","England","Premier League","2015/2016","Aston Villa","Arsenal","Kevin Friend","0","2","A"
"7173","12-12-15 18:30","England","Premier League","2015/2016","Bournemouth","Manchester Utd","Anthony Taylor","2","1","H"
"7174","12-12-15 16:00","England","Premier League","2015/2016","Crystal Palace","Southampton","Mike Dean","1","0","H"
"7175","12-12-15 16:00","England","Premier League","2015/2016","Manchester City","Swansea","Robert Madley","2","1","H"
"7176","12-12-15 16:00","England","Premier League","2015/2016","Sunderland","Watford","Graham Scott","0","1","A"
"7177","12-12-15 16:00","England","Premier League","2015/2016","West Ham","Stoke","Andre Marriner","0","0","D"
"7178","12-12-15 13:45","England","Premier League","2015/2016","Norwich","Everton","Martin Atkinson","1","1","D"
"7179","07-12-15 21:00","England","Premier League","2015/2016","Everton","Crystal Palace","Craig Pawson","1","1","D"
"7180","06-12-15 17:00","England","Premier League","2015/2016","Newcastle","Liverpool","Andre Marriner","2","0","H"
"7181","05-12-15 18:30","England","Premier League","2015/2016","Chelsea","Bournemouth","Mike Jones","0","1","A"
"7182","05-12-15 16:00","England","Premier League","2015/2016","Arsenal","Sunderland","Robert Madley","3","1","H"
"7183","05-12-15 16:00","England","Premier League","2015/2016","Manchester Utd","West Ham","Mark Clattenburg","0","0","D"
"7184","05-12-15 16:00","England","Premier League","2015/2016","Southampton","Aston Villa","Anthony Taylor","1","1","D"
"7185","05-12-15 16:00","England","Premier League","2015/2016","Swansea","Leicester","Michael Oliver","0","3","A"
"7186","05-12-15 16:00","England","Premier League","2015/2016","Watford","Norwich","Mike Dean","2","0","H"
"7187","05-12-15 16:00","England","Premier League","2015/2016","West Brom","Tottenham","Jonathan Moss","1","1","D"
"7188","05-12-15 13:45","England","Premier League","2015/2016","Stoke","Manchester City","Martin Atkinson","2","0","H"
"7189","29-11-15 17:15","England","Premier League","2015/2016","Liverpool","Swansea","Anthony Taylor","1","0","H"
"7190","29-11-15 17:15","England","Premier League","2015/2016","Norwich","Arsenal","Jonathan Moss","1","1","D"
"7191","29-11-15 15:05","England","Premier League","2015/2016","West Ham","West Brom","Martin Atkinson","1","1","D"
"7192","29-11-15 13:00","England","Premier League","2015/2016","Tottenham","Chelsea","Michael Oliver","0","0","D"
"7193","28-11-15 18:30","England","Premier League","2015/2016","Leicester","Manchester Utd","Craig Pawson","1","1","D"
"7194","28-11-15 16:00","England","Premier League","2015/2016","Aston Villa","Watford","Lee Mason","2","3","A"
"7195","28-11-15 16:00","England","Premier League","2015/2016","Bournemouth","Everton","Kevin Friend","3","3","D"
"7196","28-11-15 16:00","England","Premier League","2015/2016","Crystal Palace","Newcastle","Stuart Attwell","5","1","H"
"7197","28-11-15 16:00","England","Premier League","2015/2016","Manchester City","Southampton","Roger East","3","1","H"
"7198","28-11-15 16:00","England","Premier League","2015/2016","Sunderland","Stoke","Mike Dean","2","0","H"
"7199","23-11-15 21:00","England","Premier League","2015/2016","Crystal Palace","Sunderland","Martin Atkinson","0","1","A"
"7200","22-11-15 17:00","England","Premier League","2015/2016","Tottenham","West Ham","Anthony Taylor","4","1","H"
"7201","21-11-15 18:30","England","Premier League","2015/2016","Manchester City","Liverpool","Jonathan Moss","1","4","A"
"7202","21-11-15 16:00","England","Premier League","2015/2016","Chelsea","Norwich","Craig Pawson","1","0","H"
"7203","21-11-15 16:00","England","Premier League","2015/2016","Everton","Aston Villa","Michael Oliver","4","0","H"
"7204","21-11-15 16:00","England","Premier League","2015/2016","Newcastle","Leicester","Mike Jones","0","3","A"
"7205","21-11-15 16:00","England","Premier League","2015/2016","Southampton","Stoke","Lee Mason","0","1","A"
"7206","21-11-15 16:00","England","Premier League","2015/2016","Swansea","Bournemouth","Andre Marriner","2","2","D"
"7207","21-11-15 16:00","England","Premier League","2015/2016","West Brom","Arsenal","Mark Clattenburg","2","1","H"
